排名,学校名称,省市,总分,生源质量（新生高考成绩得分）,培养结果（毕业生就业率）,科研规模（论文数量·篇）,科研质量（论文质量·FWCI）,顶尖成果（高被引论文·篇）,顶尖人才（高被引学者·人）,科技服务（企业科研经费·千元）,成果转化（技术转让收入·千元）,学生国际化（留学生比例） ,
——,广西民族大学,广西,31.6 ,36.5 ,95.11%,805,0.786,8,0,1740,0,2.81%,
——,兰州交通大学,甘肃,31.6 ,43.0 ,95.39%,1896,0.531,16,0,40891,0,0.57%,
——,闽江学院,福建,31.6 ,34.8 ,96.00%,336,0.994,6,0,4462,1605,0 ,
——,沈阳建筑大学,辽宁,31.6 ,49.2 ,93.57%,1253,0.305,4,0,39034,0,1.19%,
——,西北师范大学,甘肃,31.6 ,40.2 ,81.64%,2484,0.919,35,1,6481,0,0.70%,
——,大连交通大学,辽宁,31.5 ,47.6 ,90.89%,1052,0.494,1,0,28230,0,0.01%,
——,湖北师范大学,湖北,31.5 ,38.3 ,92.30%,511,0.892,10,0,15571,2232,0.07%,
——,南京林业大学,江苏,31.5 ,36.3 ,98.27%,2421,0.743,17,0,51571,3751,0.26%,
——,青岛理工大学,山东,31.5 ,42.6 ,92.39%,1024,0.618,7,0,142800,0,0.02%,
——,上海电力学院,上海,31.5 ,37.0 ,97.27%,1127,0.764,13,1,41044,180,0.45%,
——,广东技术师范学院,广东,31.4 ,39.0 ,95.00%,307,0.76,7,0,2350,682,0.89%,
——,河南科技大学,河南,31.4 ,40.4 ,95.10%,3245,0.594,13,2,30579,0,0 ,
——,淮北师范大学,安徽,31.4 ,33.1 ,90.01%,842,1.141,27,0,2090,347,0 ,
——,辽宁中医药大学,辽宁,31.4 ,40.4 ,92.31%,492,0.612,0,0,0,60,3.88%,
——,上海第二工业大学,上海,31.4 ,35.0 ,97.01%,393,0.903,8,1,0,0,0.34%,
——,沈阳师范大学,辽宁,31.4 ,39.1 ,95.39%,630,0.748,9,0,0,0,0.51%,
——,哈尔滨师范大学,黑龙江,31.3 ,42.9 ,78.49%,1212,0.907,17,0,1049,0,0.65%,
——,沈阳工业大学,辽宁,31.3 ,45.4 ,95.70%,1773,0.413,1,0,0,1100,0.45%,
——,厦门理工学院,福建,31.3 ,41.3 ,95.24%,617,0.663,7,0,10959,50,0 ,
——,常熟理工学院,江苏,31.2 ,34.8 ,98.64%,783,0.859,8,0,3988,0,0 ,
——,哈尔滨理工大学,黑龙江,31.2 ,44.2 ,88.47%,3018,0.543,22,0,57338,300,0.09%,
——,河南工业大学,河南,31.2 ,40.9 ,90.23%,1769,0.69,19,1,57155,50,0.01%,
——,桂林电子科技大学,广西,31.1 ,39.8 ,94.39%,1700,0.613,14,1,13706,5573,0.70%,
——,兰州理工大学,甘肃,31.1 ,38.5 ,97.13%,3129,0.569,24,0,53779,200,0.39%,
——,浙江海洋大学,浙江,31.1 ,38.2 ,96.65%,785,0.71,5,1,41620,56,0.13%,
——,大连大学,辽宁,31.0 ,41.1 ,95.36%,1290,0.542,8,1,13468,120,0.76%,
——,河北地质大学,河北,31.0 ,42.4 ,97.23%,359,0.527,3,0,11684,0,0 ,
——,西华师范大学,四川,31.0 ,29.5 ,94.23%,1000,1.115,28,1,13028,0,0 ,
——,大连海洋大学,辽宁,30.9 ,37.9 ,94.33%,654,0.762,10,0,13807,7,0.19%,
——,大连民族大学,辽宁,30.9 ,38.2 ,94.79%,925,0.722,16,0,6967,4271,0.09%,
——,曲阜师范大学,山东,30.9 ,32.1 ,91.08%,1680,1.02,45,0,7893,0,0.20%,
——,唐山学院,河北,30.9 ,46.8 ,93.77%,159,0.417,1,0,452,0,0 ,
——,广东海洋大学,广东,30.8 ,35.1 ,99.39%,822,0.757,11,0,19674,838,0.01%,
——,河北工程大学,河北,30.8 ,44.7 ,85.87%,1104,0.619,9,0,21942,0,0 ,
——,河南农业大学,河南,30.8 ,37.8 ,88.55%,1612,0.814,11,0,63896,15850,0.02%,
——,嘉兴学院,浙江,30.8 ,35.7 ,96.06%,1027,0.795,11,0,10184,400,0 ,
——,石家庄学院,河北,30.8 ,45.4 ,93.44%,213,0.465,0,0,0,0,0 ,
——,海南医学院,海南,30.6 ,35.6 ,95.00%,450,0.702,1,0,1000,0,2.91%,
——,河南中医药大学,河南,30.6 ,42.4 ,95.67%,179,0.485,0,0,1200,160,0.86%,
——,淮阴师范学院,江苏,30.6 ,29.7 ,98.13%,783,1.007,15,0,2279,125,0 ,
——,上海应用技术大学,上海,30.6 ,31.3 ,99.29%,1338,0.816,19,0,97586,42,0.36%,
——,郑州航空工业管理学院,河南,30.6 ,39.7 ,96.68%,406,0.603,4,0,1240,0,0 ,
——,大连工业大学,辽宁,30.5 ,39.2 ,93.40%,853,0.65,4,0,34732,1220,0.35%,
——,辽宁工程技术大学,辽宁,30.5 ,44.7 ,93.88%,1585,0.353,5,0,75338,0,0.23%,
——,太原科技大学,山西,30.5 ,43.6 ,88.91%,1343,0.54,11,0,17748,0,0 ,
——,郑州师范学院,河南,30.5 ,32.5 ,84.91%,118,1.187,4,0,0,0,0 ,
——,大理大学,云南,30.4 ,29.7 ,97.80%,410,0.71,4,0,8606,2000,6.24%,
——,桂林理工大学,广西,30.4 ,36.4 ,93.80%,1503,0.705,9,0,35628,20,0.66%,
——,桂林医学院,广西,30.4 ,38.0 ,94.03%,385,0.723,2,0,0,0,0 ,
——,上海工程技术大学,上海,30.4 ,37.5 ,98.87%,1122,0.571,5,0,48562,230,0.27%,
——,石河子大学,新疆,30.4 ,37.7 ,91.79%,1894,0.689,9,0,0,820,0.85%,
——,北京印刷学院,北京,30.3 ,38.8 ,98.13%,237,0.581,3,0,10171,0,0.01%,
——,长春工业大学,吉林,30.3 ,42.4 ,87.00%,998,0.62,8,0,36735,3500,0.03%,
——,成都中医药大学,四川,30.3 ,37.3 ,93.82%,967,0.695,4,0,965,6414,0.52%,
——,海南师范大学,海南,30.3 ,33.0 ,92.74%,571,0.935,9,0,6625,0,0.17%,
——,长春大学,吉林,30.2 ,40.1 ,90.80%,1077,0.621,6,0,151,0,0.28%,
——,广西中医药大学,广西,30.2 ,40.1 ,91.65%,145,0.598,0,0,147,20,1.35%,
——,四川师范大学,四川,30.2 ,35.8 ,94.85%,1086,0.684,9,3,16926,0,0.10%,
——,唐山师范学院,河北,30.2 ,41.8 ,94.20%,100,0.527,1,0,199,0,0 ,
——,华东交通大学,江西,30.1 ,42.0 ,88.36%,1272,0.576,11,0,19256,2150,0 ,
——,吉首大学,湖南,30.1 ,36.0 ,94.82%,690,0.735,7,0,0,0,0 ,
——,南昌航空大学,江西,30.1 ,36.3 ,87.69%,1987,0.763,24,0,47184,655,0.64%,
——,西南民族大学,四川,30.1 ,34.1 ,96.16%,704,0.789,10,0,1440,15,0.01%,
——,安徽理工大学,安徽,30.0 ,39.0 ,96.38%,1665,0.467,7,0,81360,8500,0 ,
——,安阳师范学院,河南,30.0 ,29.3 ,94.10%,892,1.014,17,0,158,0,0 ,
——,川北医学院,四川,30.0 ,37.0 ,96.44%,560,0.595,3,0,0,0,1.16%,
——,东北石油大学,黑龙江,30.0 ,49.8 ,68.92%,1561,0.538,16,1,173400,2800,0.05%,
——,福建工程学院,福建,30.0 ,37.8 ,98.72%,379,0.56,3,0,14731,400,0.01%,
——,哈尔滨商业大学,黑龙江,30.0 ,44.6 ,91.21%,548,0.426,0,0,0,0,0 ,
——,天津商业大学,天津,30.0 ,42.3 ,85.13%,480,0.667,3,0,7803,80,0.01%,
——,长治医学院,山西,29.9 ,42.2 ,84.10%,150,0.683,1,0,0,0,0 ,
——,湖北工程学院,湖北,29.9 ,36.1 ,94.17%,219,0.724,3,0,4242,310,0.01%,
——,西安财经学院,陕西,29.9 ,43.2 ,91.03%,131,0.492,0,0,0,0,0 ,
——,西安石油大学,陕西,29.9 ,43.5 ,90.60%,1133,0.339,2,0,123873,9841,1.04%,
——,广西师范学院,广西,29.8 ,36.5 ,92.40%,310,0.699,0,0,19499,0,0.76%,
——,宁波工程学院,浙江,29.8 ,32.8 ,97.11%,611,0.771,7,0,22355,0,0.16%,
——,廊坊师范学院,河北,29.7 ,43.2 ,91.57%,157,0.445,0,0,0,0,0 ,
——,东莞理工学院,广东,29.6 ,35.7 ,90.40%,571,0.759,6,0,22166,0,0 ,
——,湖南理工学院,湖南,29.6 ,32.4 ,97.88%,415,0.761,4,0,2008,1087,0 ,
——,西南科技大学,四川,29.6 ,39.5 ,88.99%,2576,0.534,16,0,38463,7803,0 ,
——,蚌埠医学院,安徽,29.5 ,36.3 ,95.40%,777,0.619,1,0,951,0,0 ,
——,齐齐哈尔医学院,黑龙江,29.5 ,33.2 ,95.75%,227,0.754,2,0,0,0,0.23%,
——,山西农业大学,山西,29.5 ,40.1 ,88.63%,676,0.587,1,0,16824,500,0 ,
——,长春师范大学,吉林,29.4 ,39.5 ,80.60%,232,0.804,3,0,1520,0,0.15%,
——,五邑大学,广东,29.4 ,34.6 ,97.59%,645,0.622,4,0,16545,30,0.01%,
——,潍坊医学院,山东,29.2 ,33.3 ,92.20%,637,0.624,2,0,218,0,3.47%,
——,成都信息工程大学,四川,29.1 ,37.5 ,95.10%,873,0.491,4,0,22262,31,0 ,
——,湖北汽车工业学院,湖北,29.1 ,38.4 ,95.97%,189,0.474,2,0,8017,29,0 ,
——,吉林农业大学,吉林,29.1 ,33.1 ,92.01%,1351,0.746,5,0,5670,1500,0.15%,
——,山东中医药大学,山东,29.1 ,33.2 ,96.64%,759,0.643,5,0,0,1537,0.51%,
——,沈阳理工大学,辽宁,29.1 ,42.7 ,91.50%,1025,0.3,1,0,4360,7605,0.80%,
——,吉林建筑大学,吉林,29.0 ,38.3 ,94.05%,164,0.501,0,0,0,0,0 ,
——,内蒙古医科大学,内蒙古,29.0 ,37.9 ,86.70%,254,0.66,1,0,511,0,0.58%,
——,山东理工大学,山东,29.0 ,34.2 ,91.43%,2109,0.63,15,0,48680,2100,0.16%,
——,盐城工学院,江苏,29.0 ,31.9 ,98.96%,1165,0.63,7,0,15762,300,0 ,
——,滨州医学院,山东,28.9 ,32.0 ,93.81%,518,0.752,2,0,667,0,0.41%,
——,济宁医学院,山东,28.9 ,25.5 ,94.24%,183,1.031,6,0,0,0,0.50%,
——,山西大同大学,山西,28.9 ,39.1 ,81.22%,557,0.727,4,0,1781,0,0 ,
——,沈阳大学,辽宁,28.9 ,35.7 ,92.50%,1659,0.543,6,0,1937,0,0.88%,
——,西安工程大学,陕西,28.9 ,39.7 ,88.87%,1306,0.464,5,0,72788,5000,0.02%,
——,西华大学,四川,28.9 ,36.8 ,91.94%,1155,0.546,12,0,24019,30,0 ,
——,延安大学,陕西,28.9 ,39.4 ,89.92%,466,0.517,1,0,1419,0,0 ,
——,辽宁科技大学,辽宁,28.8 ,35.4 ,96.92%,761,0.489,5,0,40209,30,0.29%,
——,辽宁石油化工大学,辽宁,28.8 ,36.9 ,95.18%,1392,0.387,3,0,21790,350,1.62%,
——,陕西理工大学,陕西,28.8 ,35.2 ,95.81%,528,0.548,4,0,6800,0,0 ,
——,沈阳工程学院,辽宁,28.8 ,36.7 ,96.06%,208,0.487,2,0,12808,1885,0 ,
——,玉林师范学院,广西,28.8 ,28.8 ,92.63%,271,0.923,3,0,20,0,0.21%,
——,长沙学院,湖南,28.7 ,33.3 ,93.32%,337,0.693,5,0,0,50,0.01%,
——,湖北理工学院,湖北,28.7 ,36.7 ,92.55%,328,0.566,0,0,3860,0,0 ,
——,山东建筑大学,山东,28.7 ,35.6 ,92.45%,799,0.561,9,1,17810,80,0 ,
——,泰山医学院,山东,28.7 ,27.3 ,90.47%,625,0.8,2,0,2443,0,4.55%,
——,天津城建大学,天津,28.7 ,38.1 ,91.79%,328,0.5,1,0,16417,0,0.08%,
——,皖南医学院,安徽,28.7 ,31.8 ,94.31%,690,0.714,6,0,50,0,0 ,
——,徐州工程学院,江苏,28.7 ,31.1 ,98.80%,347,0.664,4,0,3743,10,0.01%,
——,湖南商学院,湖南,28.6 ,41.7 ,91.80%,171,0.346,0,0,0,0,0.03%,
——,北京联合大学,北京,28.5 ,29.9 ,99.00%,613,0.53,2,0,9390,0,2.97%,
——,北京石油化工学院,北京,28.5 ,33.6 ,98.10%,594,0.512,5,0,14534,0,0.31%,
——,东华理工大学,江西,28.5 ,29.1 ,94.69%,1071,0.755,9,1,32585,980,0.01%,
——,江西科技师范大学,江西,28.5 ,28.3 ,86.67%,761,0.997,9,1,15,0,0.02%,
——,青海大学,青海,28.5 ,37.3 ,89.34%,562,0.552,4,0,14297,0,0 ,
——,河南科技学院,河南,28.4 ,32.9 ,93.37%,1200,0.626,10,0,3923,5900,0 ,
——,聊城大学,山东,28.3 ,23.1 ,93.68%,1646,0.973,31,2,2301,1730,0 ,
——,南阳师范学院,河南,28.3 ,28.4 ,95.23%,742,0.791,12,0,0,0,0 ,
——,贵州医科大学,贵州,28.2 ,31.4 ,95.76%,801,0.616,3,0,2360,0,0.28%,
——,金陵科技学院,江苏,28.2 ,37.6 ,95.26%,166,0.38,0,0,5672,180,0 ,
——,龙岩学院,福建,28.2 ,24.6 ,97.63%,194,0.92,1,0,20,0,0.02%,
——,鲁东大学,山东,28.2 ,29.9 ,93.51%,1412,0.683,11,0,21803,110,0.66%,
——,盐城师范学院,江苏,28.2 ,29.5 ,98.66%,466,0.658,1,0,8048,200,0 ,
——,中原工学院,河南,28.2 ,33.1 ,93.92%,616,0.596,4,0,5192,1350,0 ,
——,北京服装学院,北京,28.1 ,34.7 ,96.68%,353,0.419,1,0,13526,0,0.99%,
——,肇庆学院,广东,28.1 ,29.8 ,99.71%,279,0.61,1,0,5660,500,0 ,
——,天津农学院,天津,28.0 ,31.1 ,96.04%,333,0.616,1,0,5422,2000,0.01%,
——,江西农业大学,江西,27.9 ,30.1 ,87.89%,1019,0.796,4,0,28076,200,0.02%,
——,太原工业学院,山西,27.9 ,39.6 ,88.23%,101,0.417,0,0,238,0,0 ,
——,云南农业大学,云南,27.9 ,27.4 ,96.56%,955,0.712,6,0,27752,100,0.41%,
——,湖南文理学院,湖南,27.8 ,28.3 ,91.06%,534,0.828,8,0,500,1300,0 ,
——,华北水利水电大学,河南,27.8 ,40.1 ,82.38%,1731,0.428,3,0,42774,0,0 ,
——,江西理工大学,江西,27.8 ,31.9 ,88.61%,1058,0.682,10,0,43000,0,0 ,
——,洛阳师范学院,河南,27.8 ,30.7 ,84.46%,1056,0.826,20,0,300,5832,0 ,
——,莆田学院,福建,27.8 ,30.7 ,96.05%,255,0.622,0,0,804,0,0 ,
——,齐鲁工业大学,山东,27.8 ,24.3 ,98.78%,1165,0.799,4,1,8383,30,0.07%,
——,青岛农业大学,山东,27.8 ,24.0 ,95.20%,1598,0.852,14,0,47158,200,0.02%,
——,西南林业大学,云南,27.8 ,29.5 ,95.36%,649,0.658,5,0,23615,0,0.16%,
——,宝鸡文理学院,陕西,27.7 ,34.8 ,90.84%,521,0.527,3,0,100,0,0 ,
——,成都医学院,四川,27.7 ,30.7 ,95.46%,422,0.614,3,0,629,0,0 ,
——,淮海工学院,江苏,27.7 ,31.5 ,98.13%,978,0.492,2,0,795,190,0.01%,
——,北华大学,吉林,27.6 ,37.3 ,76.74%,716,0.611,3,0,252,0,2.21%,
——,重庆科技学院,重庆,27.6 ,33.3 ,93.79%,712,0.457,4,0,98665,1500,0.05%,
——,齐齐哈尔大学,黑龙江,27.5 ,30.0 ,94.00%,840,0.591,6,0,900,1210,0.75%,
——,许昌学院,河南,27.5 ,26.7 ,93.15%,540,0.802,11,0,1223,0,0.01%,
——,上海电机学院,上海,27.4 ,31.8 ,98.52%,303,0.403,1,0,10671,200,1.07%,
——,安庆师范大学,安徽,27.3 ,29.5 ,90.32%,366,0.71,3,0,9155,5000,0 ,
——,赣南医学院,江西,27.3 ,29.3 ,81.54%,147,0.887,2,0,0,0,1.06%,
——,惠州学院,广东,27.3 ,33.4 ,91.40%,268,0.527,3,0,1251,0,0 ,
——,丽水学院,浙江,27.3 ,27.4 ,95.93%,372,0.683,8,0,2382,0,0 ,
——,佛山科学技术学院,广东,27.2 ,31.6 ,95.95%,323,0.465,1,0,45997,142,0 ,
——,淮阴工学院,江苏,27.2 ,29.3 ,96.55%,869,0.556,2,0,15236,245,0 ,
——,曲靖师范学院,云南,27.2 ,23.3 ,97.49%,266,0.827,7,0,0,0,0.03%,
——,泉州师范学院,福建,27.2 ,27.2 ,97.24%,198,0.662,0,0,1088,0,0 ,
——,四川理工学院,四川,27.2 ,26.7 ,96.33%,778,0.674,6,0,12238,3420,0 ,
——,忻州师范学院,山西,27.2 ,32.0 ,88.69%,123,0.647,0,0,60,0,0 ,
——,吉林医药学院,吉林,27.1 ,35.9 ,82.51%,224,0.579,1,0,0,0,0 ,
——,佳木斯大学,黑龙江,27.1 ,30.6 ,81.49%,549,0.687,2,0,680,0,3.00%,
——,临沂大学,山东,27.1 ,23.0 ,97.93%,954,0.791,6,0,5140,0,0.03%,
——,内蒙古工业大学,内蒙古,27.1 ,32.1 ,92.26%,1242,0.44,1,0,54757,0,0.72%,
——,山东工商学院,山东,27.1 ,27.1 ,96.03%,368,0.662,4,0,2420,0,0.01%,
——,新疆大学,新疆,27.1 ,25.9 ,88.01%,2635,0.718,26,1,21045,580,1.26%,
——,哈尔滨学院,黑龙江,27.0 ,31.4 ,86.40%,244,0.689,3,0,0,0,0 ,
——,河南工程学院,河南,27.0 ,34.4 ,94.06%,467,0.378,0,0,1245,0,0 ,
——,吉林化工学院,吉林,27.0 ,31.3 ,87.55%,332,0.647,1,0,10048,140,0 ,
——,江苏理工学院,江苏,27.0 ,35.7 ,89.13%,159,0.423,1,0,10889,0,0 ,
——,江西中医药大学,江西,27.0 ,30.2 ,87.96%,750,0.539,2,0,9528,1000,3.07%,
——,新疆医科大学,新疆,27.0 ,28.6 ,89.56%,2313,0.42,1,0,0,1175,5.17%,
——,广西科技大学,广西,26.9 ,33.0 ,93.00%,224,0.441,1,0,7035,0,0.06%,
——,湖南工程学院,湖南,26.9 ,30.8 ,89.84%,586,0.606,4,0,1350,348,0 ,
——,岭南师范学院,广东,26.9 ,29.2 ,87.06%,325,0.742,2,0,288,0,0.01%,
——,通化师范学院,吉林,26.9 ,35.6 ,89.15%,104,0.423,0,0,0,0,0.01%,
——,贵州师范学院,贵州,26.8 ,18.2 ,88.77%,183,1.188,4,0,0,0,0 ,
——,衡阳师范学院,湖南,26.8 ,29.4 ,91.37%,467,0.618,4,0,287,0,0 ,
——,遵义医学院,贵州,26.8 ,30.1 ,94.51%,685,0.517,2,0,1875,0,0 ,
——,长江师范学院,重庆,26.7 ,26.3 ,97.37%,296,0.615,4,0,1200,300,0 ,
——,成都学院,四川,26.7 ,29.7 ,96.83%,538,0.454,0,1,12798,0,0.04%,
——,洛阳理工学院,河南,26.7 ,33.9 ,95.31%,492,0.322,0,0,2651,0,0 ,
——,商丘师范学院,河南,26.7 ,26.3 ,92.68%,343,0.722,1,0,0,0,0 ,
——,湘南学院,湖南,26.7 ,29.8 ,90.48%,178,0.614,1,0,25,0,0.03%,
——,赣南师范大学,江西,26.6 ,25.9 ,85.15%,531,0.869,8,0,3525,5180,0.11%,
——,甘肃农业大学,甘肃,26.5 ,29.4 ,88.06%,770,0.641,3,0,4700,0,0.01%,
——,荆楚理工学院,湖北,26.5 ,29.8 ,94.34%,116,0.51,0,0,0,80,0.01%,
——,景德镇陶瓷大学,江西,26.5 ,21.1 ,87.03%,657,1.014,16,0,7389,290,0.23%,
——,韶关学院,广东,26.5 ,26.3 ,95.10%,248,0.638,0,0,3590,0,0.01%,
——,韩山师范学院,广东,26.4 ,24.9 ,87.59%,271,0.861,3,0,1045,0,0 ,
——,湖南城市学院,湖南,26.4 ,28.3 ,89.37%,531,0.647,3,0,19522,1532,0.02%,
——,太原师范学院,山西,26.4 ,41.4 ,——,200,0.545,0,0,410,0,0 ,
——,咸阳师范学院,陕西,26.4 ,33.8 ,88.47%,279,0.444,0,0,0,0,0.02%,
——,黄山学院,安徽,26.3 ,26.3 ,96.72%,125,0.576,0,0,1341,0,0.05%,
——,南昌工程学院,江西,26.3 ,27.0 ,87.91%,408,0.73,6,0,1820,3010,0 ,
——,昆明学院,云南,26.2 ,24.4 ,97.03%,290,0.632,1,0,680,0,0.19%,
——,南京晓庄学院,江苏,26.2 ,37.4 ,——,309,0.662,4,0,110,0,0.43%,
——,玉溪师范学院,云南,26.2 ,21.4 ,98.14%,172,0.743,3,0,0,0,0 ,
——,贵州民族大学,贵州,26.1 ,22.0 ,94.86%,128,0.748,2,0,0,0,0.91%,
——,华北科技学院,河北,26.1 ,33.8 ,86.10%,232,0.417,0,0,6555,0,0.65%,
——,渭南师范学院,陕西,26.0 ,32.3 ,89.04%,194,0.442,1,0,440,0,0 ,
——,鞍山师范学院,辽宁,25.9 ,30.2 ,86.34%,131,0.578,0,0,0,0,0.20%,
——,重庆三峡学院,重庆,25.8 ,27.0 ,94.00%,475,0.519,1,0,1217,0,0 ,
——,井冈山大学,江西,25.7 ,25.6 ,87.00%,500,0.645,2,0,25,0,1.77%,
——,西藏大学,西藏,25.7 ,28.3 ,81.98%,356,0.716,4,0,0,0,0 ,
——,北方民族大学,宁夏,25.6 ,25.2 ,91.86%,139,0.635,1,0,0,0,0 ,
——,长春工程学院,吉林,25.5 ,31.1 ,86.99%,204,0.457,1,0,6575,0,0 ,
——,黑龙江八一农垦大学,黑龙江,25.4 ,28.9 ,81.78%,679,0.635,3,0,5774,976,0 ,
——,黄淮学院,河南,25.3 ,26.4 ,96.71%,188,0.428,1,0,0,0,0 ,
——,牡丹江医学院,黑龙江,25.3 ,33.7 ,——,316,0.712,0,0,0,0,0 ,
——,安阳工学院,河南,25.2 ,31.0 ,91.19%,175,0.332,0,0,221,0,0 ,
——,贵州师范大学,贵州,25.1 ,25.4 ,88.62%,723,0.599,5,0,9772,0,0.06%,
——,榆林学院,陕西,25.1 ,29.8 ,91.88%,105,0.356,0,0,400,0,0 ,
——,湖南工学院,湖南,24.9 ,26.7 ,93.19%,306,0.429,0,0,133,0,0 ,
——,乐山师范学院,四川,24.9 ,19.7 ,98.50%,244,0.61,0,0,362,0,0.29%,
——,周口师范学院,河南,24.9 ,25.6 ,94.03%,385,0.456,1,0,0,0,0 ,
——,兰州城市学院,甘肃,24.7 ,25.5 ,80.67%,136,0.734,0,0,0,0,0 ,
——,内江师范学院,四川,24.7 ,18.5 ,90.40%,269,0.82,5,0,130,0,0.05%,
——,嘉应学院,广东,24.6 ,24.6 ,91.77%,214,0.495,1,1,2017,0,0 ,
——,牡丹江师范学院,黑龙江,24.6 ,29.1 ,86.30%,160,0.433,0,0,1318,0,0.16%,
——,皖西学院,安徽,24.6 ,22.2 ,95.16%,226,0.545,0,0,0,0,0 ,
——,内蒙古科技大学,内蒙古,24.5 ,27.1 ,85.44%,1111,0.48,5,0,10530,0,0.04%,
——,青海师范大学,青海,24.5 ,17.6 ,91.85%,314,0.797,6,0,0,0,0 ,
——,南阳理工学院,河南,24.4 ,29.6 ,87.18%,248,0.34,0,0,0,10,0.25%,
——,山东交通学院,山东,24.3 ,22.2 ,92.35%,307,0.545,0,0,15770,0,0.12%,
——,怀化学院,湖南,24.2 ,23.2 ,91.51%,310,0.517,1,0,370,0,0 ,
——,安徽科技学院,安徽,24.1 ,20.1 ,90.80%,120,0.662,1,0,5180,1000,0 ,
——,滁州学院,安徽,24.1 ,22.0 ,95.80%,325,0.461,1,0,2894,100,0 ,
——,平顶山学院,河南,24.1 ,26.9 ,91.62%,184,0.344,0,0,0,75,0 ,
——,四川文理学院,四川,24.1 ,17.8 ,93.14%,109,0.712,1,0,0,0,0.17%,
——,泰山学院,山东,24.1 ,15.9 ,90.97%,359,0.839,4,0,3680,3680,0 ,
——,浙江万里学院,浙江,24.1 ,15.7 ,95.41%,425,0.74,4,0,1503,0,0.12%,
——,滨州学院,山东,24.0 ,16.2 ,95.47%,399,0.709,4,0,284,0,0 ,
——,天津职业技术师范大学,天津,24.0 ,31.1 ,——,462,0.566,3,0,20984,750,1.11%,
——,邵阳学院,湖南,23.9 ,23.8 ,90.29%,225,0.478,0,0,335,360,0 ,
